field,category,status,postgres_type,records_populated,fill_pct,powers_filter,notes
min_credit_score,credit,existing,INTEGER,140,28.9%,'no minimum score' filter,
no_credit_check,credit,existing,BOOLEAN,484,100.0%,Credit policy filter,"Falls back to credit_check_policy in ('none','soft_pull') when null."
nmls_id,provenance,existing,TEXT,188,38.8%,,Trust signal — currently near-empty. Worth prioritising in the regeneration.
aapl_member,provenance,existing,BOOLEAN,6,1.2%,,Trust signal.
year_founded,provenance,existing,INTEGER,167,34.5%,,Trust signal.
source,provenance,existing,TEXT NOT NULL,484,100.0%,,Present in JSON but stripped at the API boundary (not on LenderOut).
coverage_source_url,provenance,new,TEXT,0,0.0%,,"NEW. STRONGLY RECOMMENDED. The page the coverage claim was read from. Without it, county claims are unauditable and we cannot honour the no-fake-data rule."
coverage_verified_at,provenance,new,TIMESTAMPTZ,0,0.0%,,NEW. STRONGLY RECOMMENDED. Lets the UI age out stale coverage instead of asserting it forever.
last_seen_at,provenance,new,TIMESTAMPTZ,0,0.0%,,NEW. Recommended. Distinguishes 'delisted' from 'missing from this scrape'.
is_active,provenance,new,BOOLEAN NOT NULL DEFAULT TRUE,0,0.0%,,NEW. Recommended. Soft-delete so saved_directory_contacts never dangle.
created_at,provenance,new,TIMESTAMPTZ NOT NULL,0,0.0%,,NEW. Standard column on cash_buyers; match it.
updated_at,provenance,new,TIMESTAMPTZ NOT NULL,0,0.0%,,NEW. Standard column on cash_buyers; match it.
zip_county_crosswalk,reference_data,new,separate table: zip_county_xwalk,0,0.0%,ZIP filter (BLOCKER),"NEW, NOT a lender column. A ZIP -> (county, state) table is what makes a ZIP box work: resolve the typed ZIP, then match against counties_served/states_served. Source: HUD USPS ZIP crosswalk or Census ZCTA. ~42k rows. Note backend/app/data/landlord_insurance/county_rates.json already carries county+state+FIPS and can supply canonical county spellings."
